Rank,Name,Team,Games,RP,D,K,HB,CP,M,Cl,I50,G,B,SI,IP,T,BOU,HO,HOA,TGB,HBG,LBG,HR,CM,UM,IM,MI50,CC,BUC,TIC,R50,FF,FA,KI,1%,GST,BTO,MTO,FTO,PR,Ch,Sm,Sp,KO,FTKL,MTKL,BTKL,GA,GA%,DE%,K%,H%,I50%,C%,R50%
109,Ben Darrou,Tatura,14,"1,264",255,207,48,95,98,25,21,18,12,51,36,20,0,21,4,43,16,27,9,23,75,12,24,2,9,14,37,7,18,26,21,0,3,22,11,42,5,0,15,1,6,6,8,2,60,74,70,90,38,56,62
110,Ben Hicks,Mooroopna,18,"1,258",253,181,72,61,77,5,9,1,0,23,79,33,9,0,0,40,9,31,16,11,66,30,3,1,2,2,58,9,8,31,49,0,4,16,1,66,4,5,36,3,0,12,21,1,100,79,75,90,67,60,55
111,Nicholas Warnock,Benalla,12,"1,256",217,164,53,83,112,3,7,0,1,18,110,16,1,6,3,36,14,22,0,34,78,64,2,0,2,1,43,7,3,3,38,0,6,38,2,32,2,1,25,7,2,4,10,1,0,68,64,81,71,67,63
112,Matthew Casey,Shepparton United,18,"1,250",198,176,22,100,98,12,37,60,30,112,15,18,0,7,0,31,9,22,2,31,67,2,55,0,6,6,1,21,27,0,7,0,1,9,28,28,3,0,3,1,15,3,0,8,66,58,57,68,51,50,100
113,Hamish Hooppell,Rochester,18,"1,241",212,171,41,124,43,61,37,6,9,50,58,64,0,180,35,65,28,37,3,9,34,13,5,10,31,20,33,11,23,0,32,0,10,39,11,101,4,3,16,8,8,36,20,4,40,53,50,68,62,52,55
114,Ryan O'Keefe,Rochester,16,"1,238",281,163,118,48,80,3,12,4,3,34,68,17,2,0,0,39,4,35,15,7,73,18,5,0,2,1,56,2,4,57,72,0,5,24,4,46,2,5,60,4,0,3,14,1,57,81,77,87,33,33,63
115,Lewis Lubeck,Seymour,18,"1,237",200,155,45,90,89,7,26,10,5,49,81,14,4,28,6,54,18,36,5,22,67,32,10,3,1,3,47,14,9,1,63,0,6,26,6,45,5,5,41,12,3,5,6,6,66,64,63,64,54,71,49
116,Bryce Stephenson,Shepparton Bears,21,"1,226",209,125,84,98,79,3,12,0,0,17,100,31,0,3,1,62,22,40,1,20,59,37,0,0,3,0,46,10,23,1,93,0,10,28,1,74,5,2,76,5,0,6,25,1,0,62,58,69,33,67,52
117,Jordan Wiggins,Shepparton United,18,"1,212",257,179,78,59,111,7,8,0,1,30,72,18,1,0,0,39,9,30,8,9,102,28,1,1,3,3,51,9,7,12,33,0,7,14,4,43,4,5,20,4,0,8,10,2,0,80,77,88,25,57,76
118,Quade Johnstone,Shepparton Swans,15,"1,211",254,129,125,155,57,70,38,3,7,55,53,87,1,0,0,93,51,42,4,9,48,8,6,27,24,19,13,27,23,0,35,0,5,44,18,161,14,3,6,9,13,65,9,5,30,61,52,71,50,64,54
119,Jack Marks,Mansfield,14,"1,204",266,129,137,142,53,44,55,13,4,74,40,57,9,0,0,90,26,64,2,10,43,2,3,14,11,19,16,25,16,0,25,0,5,31,20,104,7,8,2,8,14,39,4,7,76,71,62,80,53,73,81
120,Campbell McElhinney,Mooroopna,19,"1,181",217,121,96,94,61,11,13,0,1,27,87,79,0,0,0,59,22,37,0,12,49,26,0,3,6,2,38,21,14,6,33,0,6,22,2,128,7,9,14,3,4,44,31,1,0,74,69,80,54,73,55
121,Will Creevey,Euroa,14,"1,175",291,171,120,111,73,39,47,8,2,60,47,37,1,0,0,68,21,47,14,9,64,2,5,8,14,17,27,21,9,0,20,0,3,41,14,70,5,2,3,9,3,28,6,10,80,69,65,75,70,59,85
122,Grant Fuller,Rochester,18,"1,169",202,133,69,90,67,8,27,2,3,28,92,71,1,0,0,60,30,30,7,12,55,30,4,1,4,3,43,13,13,1,69,0,7,43,12,112,9,2,52,4,4,35,32,6,40,58,53,70,30,38,56
123,Sam Bicknell,Shepparton Swans,16,"1,169",248,158,90,103,103,6,33,8,12,54,47,46,0,6,0,65,30,35,2,22,81,16,12,0,4,2,20,16,3,1,34,0,0,32,19,90,14,2,11,5,9,31,6,3,40,63,54,77,39,67,50
124,Ricky Schraven,Seymour,18,"1,161",256,191,65,79,87,14,54,20,18,81,37,50,4,0,0,59,20,39,10,3,84,3,12,0,9,5,11,11,12,0,23,0,0,26,20,113,12,2,1,7,20,25,5,8,50,63,60,74,46,43,82
125,Sam Edgar,Echuca,18,"1,160",261,163,98,111,68,26,48,10,6,69,46,43,0,0,0,77,28,49,2,4,64,4,8,8,13,5,17,14,16,0,29,0,1,21,24,108,16,1,4,5,13,26,4,12,62,70,66,76,52,69,59
126,Max Clohesy,Shepparton Swans,10,"1,156",240,137,103,112,48,53,40,3,2,56,55,75,4,2,0,72,24,48,4,4,44,3,2,8,32,13,21,23,8,1,20,0,2,30,16,119,11,4,5,0,6,58,11,11,60,68,59,80,53,68,48
127,Luke Edwards,Echuca,17,"1,154",187,125,62,76,77,17,19,11,9,57,53,36,1,87,23,37,12,25,2,16,61,22,17,0,8,9,29,11,24,1,65,0,6,28,8,64,5,2,53,5,8,16,12,5,55,66,60,77,53,53,55
128,Nicholas Asquith,Euroa,17,"1,151",193,144,49,54,76,4,5,3,1,26,63,47,1,1,0,29,11,18,4,12,64,26,1,0,2,2,42,13,8,6,56,0,5,14,3,88,7,1,40,5,5,12,30,2,75,79,76,88,40,75,67
129,James Auld,Shepparton Swans,17,"1,143",179,119,60,95,74,2,12,45,23,99,25,30,1,0,0,50,14,36,0,29,45,3,49,0,1,1,0,20,7,0,18,0,0,7,12,77,13,1,3,0,16,13,1,6,66,64,55,80,33,50,0
130,Rhys Clark,Kyabram,12,"1,142",213,181,32,113,77,25,44,18,21,74,36,25,7,7,0,56,20,36,6,30,47,12,26,11,8,6,22,14,11,1,29,0,1,23,20,54,11,2,9,7,10,12,3,11,46,54,52,66,55,56,59
131,Samuel Reid,Echuca,11,"1,139",261,121,140,141,34,68,37,13,7,81,41,51,1,1,0,89,41,48,4,4,30,2,7,22,27,19,7,10,17,5,16,0,4,24,17,76,6,0,3,6,8,39,4,11,65,67,60,74,65,72,43
132,Reeve Evans,Mooroopna,16,"1,126",258,146,112,109,47,18,63,11,16,73,43,54,1,0,0,75,26,49,3,10,37,4,8,1,11,6,6,18,13,0,36,0,0,25,18,145,24,2,3,6,17,34,3,9,40,62,53,74,60,56,50
133,Hudson Kellett,Echuca,15,"1,115",240,110,130,123,41,54,37,5,6,64,43,61,1,0,0,78,33,45,2,6,35,6,7,17,21,16,18,17,18,0,20,0,2,25,13,124,7,6,3,1,8,47,6,10,45,68,55,79,54,61,67
134,James Martiniello,Benalla,16,"1,108",305,137,168,119,69,52,32,1,0,54,51,46,0,1,0,84,33,51,4,1,68,4,1,14,27,11,16,13,15,0,17,0,3,35,17,84,2,3,3,9,8,35,3,4,100,68,61,73,38,63,56
135,Liam Duguid,Shepparton Bears,19,"1,107",193,118,75,79,48,10,24,2,3,36,74,71,1,0,0,59,17,42,2,7,41,13,3,0,8,2,33,7,12,0,73,0,3,21,6,152,12,10,35,13,7,38,26,1,40,69,65,75,54,70,64
136,William Monahan,Echuca,16,"1,095",247,153,94,88,73,27,27,6,5,62,51,39,1,1,0,56,15,41,3,7,66,16,12,7,10,10,22,7,15,3,26,0,5,27,11,79,9,4,12,1,6,21,12,8,54,66,61,74,56,56,55
137,Xavier Chandler,Mooroopna,20,"1,093",278,204,74,80,84,14,36,5,5,48,54,37,3,1,0,60,20,40,14,5,79,11,1,0,12,2,47,10,9,1,19,0,8,44,8,83,9,1,6,3,2,22,13,6,50,60,53,78,53,43,62
138,Baxter Slater,Echuca,11,"1,092",245,129,116,110,62,31,49,10,8,74,44,33,5,0,0,90,35,55,6,1,61,6,9,9,15,7,11,10,12,0,12,0,0,24,16,66,6,2,2,1,7,21,5,15,55,67,59,76,65,74,73
139,Jack Sinclair,Kyabram,18,"1,090",269,170,99,82,72,25,39,5,3,52,58,32,0,0,0,64,11,53,4,4,68,9,1,5,10,10,25,4,6,1,30,0,2,24,15,78,16,5,6,3,4,21,7,6,62,67,56,86,41,60,60
140,Cohen Paul,Euroa,10,"1,076",198,139,59,90,66,12,27,18,16,64,65,23,1,16,3,47,17,30,4,21,45,21,23,4,4,4,22,18,15,2,29,0,5,21,20,52,4,3,18,4,5,12,6,3,52,61,58,68,41,58,59
141,Ty Sutherland,Shepparton Swans,18,"1,069",141,86,55,74,28,43,22,1,4,40,21,66,0,375,71,37,13,24,1,4,24,1,3,18,12,13,14,23,21,0,52,0,2,26,6,139,8,1,11,18,5,45,16,3,20,65,52,84,45,63,29
142,Comanche Walls,Tatura,15,"1,065",233,156,77,71,77,8,10,1,1,18,77,32,0,0,0,51,22,29,6,5,72,21,1,0,4,4,52,13,17,25,45,0,11,35,1,58,8,2,29,5,1,10,21,3,50,73,71,77,60,88,63
143,Oliver Warburton,Shepparton Swans,9,"1,064",265,144,121,100,53,57,49,5,7,52,33,40,10,2,0,67,17,50,7,6,47,2,4,15,23,19,17,6,3,0,11,0,1,29,17,59,4,0,2,5,3,30,7,6,41,67,55,81,53,63,76
144,Hugh Hamilton,Rochester,12,"1,061",202,149,53,98,45,36,48,29,22,78,16,36,0,0,0,53,22,31,2,14,31,2,25,9,15,12,2,21,9,0,9,0,1,9,22,61,3,1,2,3,15,20,1,7,56,55,50,68,50,47,50
145,Mitchell Trevaskis,Shepparton United,17,"1,060",250,158,92,61,102,9,19,1,2,39,61,27,0,1,0,47,12,35,4,6,96,22,3,0,6,3,32,3,11,4,22,0,7,26,6,52,2,4,13,3,0,11,16,2,33,72,67,82,53,33,63
146,Lachlan Rumbiolo,Shepparton Bears,19,"1,052",251,143,108,74,65,16,23,4,7,54,58,36,1,0,0,57,12,45,4,4,61,8,7,0,10,6,19,8,3,0,26,0,1,21,9,84,9,4,10,0,6,28,2,6,36,73,69,80,65,50,68
147,Anthony Depasquale,Kyabram,9,"1,050",194,148,46,73,90,4,21,36,25,87,15,20,1,0,0,33,18,15,1,27,63,3,50,1,1,2,6,9,13,0,12,0,0,8,26,47,8,0,2,2,13,7,0,7,59,61,59,67,52,75,67
148,Sam O'Brien,Shepparton Bears,17,"1,040",218,119,99,85,44,11,35,4,3,70,55,77,0,1,0,57,21,36,0,5,39,3,3,0,8,3,9,19,8,0,41,0,0,13,17,145,24,5,4,8,18,55,4,12,57,70,65,77,54,73,56
149,Hugh Byrne,Echuca,9,"1,030",156,94,62,80,66,19,28,18,12,61,22,18,0,132,17,36,14,22,2,23,43,8,20,3,8,8,10,14,7,0,24,0,2,10,5,32,1,4,10,7,5,11,2,12,60,67,62,74,68,42,80
150,Zavier Maher,Shepparton United,7,"1,021",208,123,85,119,31,71,58,10,8,58,33,41,4,0,0,79,33,46,4,4,27,5,1,23,32,16,12,11,9,0,11,0,0,24,19,66,3,1,2,5,5,34,2,6,55,64,57,74,50,63,58
151,Kale Gibson,Shepparton United,17,"1,020",248,180,68,48,89,7,26,5,5,53,35,29,7,0,0,32,6,26,12,3,86,3,8,2,3,2,33,14,10,16,30,0,3,19,12,99,21,1,5,1,5,22,2,6,50,76,76,76,58,71,76
152,Sam Begley,Benalla,17,"1,018",234,135,99,95,53,18,30,7,12,48,48,46,7,0,0,69,23,46,2,9,44,6,10,2,7,9,19,14,17,1,39,0,5,20,14,127,28,3,6,1,10,27,9,4,36,65,53,82,53,61,53
153,Tom Dunstan,Mansfield,11,"1,008",218,126,92,82,36,34,33,2,0,38,54,58,5,0,0,52,22,30,18,4,32,8,3,6,16,12,32,19,17,18,34,0,5,28,9,95,4,4,18,4,6,36,16,7,100,72,63,86,52,76,69
154,Henry Hill,Benalla,16,"1,003",182,124,58,62,73,5,3,0,0,15,77,19,2,0,0,39,7,32,2,9,64,26,0,0,4,1,41,8,7,13,55,0,8,14,1,46,2,3,44,6,1,7,11,0,0,73,73,72,0,60,73
155,Charlie Isaac,Kyabram,15,998,164,92,72,80,66,9,25,12,7,62,35,44,0,69,16,48,13,35,0,20,46,5,18,1,2,6,10,10,7,0,27,0,0,13,14,88,9,1,10,6,18,22,4,12,63,68,59,79,60,56,50
156,Dylan Gordon,Rochester,13,995,198,165,33,50,50,2,12,1,1,15,63,20,0,9,1,32,10,22,8,9,41,26,1,0,2,0,80,4,10,63,75,0,5,29,4,46,5,2,55,11,1,8,11,0,50,68,67,70,67,50,60
157,Mitchell Vasterink,Benalla,17,994,147,117,30,94,51,28,29,15,14,61,21,22,0,165,43,38,23,15,0,21,30,7,17,2,17,9,8,18,12,0,29,0,2,6,30,61,6,4,13,5,11,11,0,11,50,56,54,67,38,39,63
158,Oscar Emanuelli,Mooroopna,20,991,238,116,122,87,41,17,33,8,5,43,55,67,5,0,0,58,25,33,2,5,36,4,7,0,9,8,10,17,16,0,35,0,1,23,14,145,25,4,4,0,15,44,8,5,61,63,52,74,36,71,60
159,Samuel Guppy,Mansfield,14,990,182,113,69,83,62,7,23,10,13,48,56,37,3,56,18,53,17,36,2,12,50,9,16,3,3,1,23,18,9,5,29,0,6,17,11,60,2,2,15,8,10,17,10,4,43,62,53,75,39,57,52
160,Andrew Bell,Euroa,13,988,251,124,127,99,58,41,32,3,1,37,44,33,1,1,1,68,28,40,1,4,54,9,3,5,19,17,17,12,5,1,7,0,5,25,12,53,1,0,1,5,3,23,7,2,75,68,55,80,38,56,76
161,Cooper Gracie,Benalla,16,987,233,129,104,113,51,28,40,4,7,42,43,66,2,0,0,71,31,40,4,4,47,4,3,8,9,11,5,28,20,0,16,0,1,23,21,119,12,0,2,1,11,47,8,7,36,64,52,80,45,61,80
162,Trent Herbert,Shepparton Bears,16,986,179,121,58,69,71,11,28,26,25,84,14,35,0,21,1,32,18,14,1,18,53,0,40,1,7,3,4,13,16,0,19,0,0,12,21,86,7,2,5,5,22,13,0,14,50,54,50,64,50,36,50
163,Thomas Burnett,Kyabram,17,982,242,124,118,85,69,19,36,12,5,70,24,44,3,0,0,67,25,42,1,6,63,0,7,6,5,8,5,8,22,0,38,0,0,26,20,110,19,4,3,5,14,30,0,10,70,67,57,78,50,74,80
164,Nathan McCarty,Rochester,17,981,238,122,116,88,65,15,44,3,5,45,59,38,1,0,0,67,31,36,4,7,58,11,4,3,9,3,15,6,18,0,24,0,2,29,14,72,4,1,13,3,2,23,13,8,37,69,55,84,48,67,53
165,Xavier Janke,Shepparton Swans,19,980,244,131,113,67,73,12,3,0,0,24,62,29,0,0,0,51,13,38,13,3,70,10,0,1,8,3,38,8,9,0,26,0,6,26,2,72,7,5,10,3,0,14,15,0,0,80,73,88,33,83,63
166,Liam Gronow,Echuca,18,977,208,136,72,84,48,10,40,27,20,88,23,38,4,0,0,60,15,45,2,8,40,4,16,1,5,4,4,16,19,0,32,0,0,11,27,91,14,5,2,10,20,17,1,13,57,63,53,81,48,60,75
167,Cooper Hamilton,Rochester,10,977,204,98,106,90,39,42,40,2,3,44,34,80,2,0,0,57,22,35,8,4,35,9,5,13,23,6,11,13,13,1,22,0,1,25,17,130,10,3,4,5,16,47,17,5,40,71,57,83,58,76,64
168,Kade Dwyer,Shepparton Swans,17,975,220,124,96,89,61,19,28,3,4,47,58,54,1,1,1,74,27,47,4,0,61,6,2,3,11,5,15,11,18,0,41,0,1,23,13,134,18,3,9,8,12,36,6,5,42,67,59,78,43,79,73
169,Will Foster,Mansfield,17,974,211,144,67,83,44,28,44,18,11,61,38,45,3,0,0,59,15,44,2,4,40,5,11,0,17,11,8,11,10,0,41,0,0,25,24,118,16,6,4,13,20,23,2,10,62,56,48,73,45,50,25
170,Max Mahoney,Mansfield,8,967,197,114,83,118,45,41,45,8,14,58,39,48,16,2,0,71,27,44,4,18,27,8,8,9,22,10,13,22,13,2,18,0,1,25,22,86,7,4,1,5,11,32,5,4,36,62,50,78,47,61,54
171,William Emanuelli,Mooroopna,20,965,161,92,69,78,56,10,35,17,13,66,22,35,0,92,15,38,17,21,1,20,36,8,21,1,3,6,10,15,13,0,31,0,0,14,17,78,8,3,9,10,19,15,1,10,54,59,45,78,51,80,30
172,Nic Burke,Euroa,17,954,260,130,130,84,70,11,26,2,4,29,50,28,9,0,0,69,14,55,5,1,69,5,3,2,4,5,27,10,3,0,13,0,2,29,12,62,8,2,3,0,2,18,8,4,33,71,54,88,42,64,63
173,Christian Georgiou,Shepparton Swans,17,950,212,141,71,79,51,28,42,6,6,47,31,69,3,0,0,55,12,43,2,0,51,2,9,3,17,8,5,16,11,0,34,0,3,24,15,152,24,0,7,2,15,50,4,9,50,59,52,75,55,61,80
174,Connor Fleming,Shepparton Bears,18,942,195,131,64,79,60,17,19,13,7,44,48,46,0,1,1,50,19,31,1,12,48,12,14,2,7,8,19,16,19,0,31,0,7,24,20,103,10,6,11,4,12,25,9,4,65,63,60,67,58,47,63
175,Mitchell Walters,Euroa,16,935,189,98,91,106,40,22,32,17,6,52,36,37,0,0,0,76,30,46,2,12,28,2,13,9,6,7,12,13,15,0,18,0,2,18,16,88,11,3,3,1,10,21,6,5,70,68,58,79,59,73,58
176,Jess Petherick,Tatura,16,933,212,135,77,77,85,7,36,3,4,42,31,35,0,1,0,52,19,33,0,8,77,11,11,0,3,4,13,8,8,0,31,0,1,23,16,88,17,2,8,3,11,21,3,10,42,66,55,84,50,57,38
177,Xavier Dimasi,Seymour,14,932,211,126,85,91,61,35,27,3,3,56,47,28,2,1,0,65,19,46,8,8,53,11,7,11,15,9,14,11,10,3,17,0,3,24,11,60,4,0,6,5,6,19,3,11,50,66,57,80,44,57,36
178,Sam McInneny,Shepparton United,18,926,193,136,57,57,87,4,30,14,6,55,28,27,0,0,0,31,13,18,2,13,74,9,22,0,3,1,10,9,4,2,12,0,3,12,16,46,5,0,3,2,13,9,5,10,70,68,60,86,37,50,50
179,Mackinley Ayton,Kyabram,17,925,189,106,83,87,45,13,29,10,7,55,48,42,0,0,0,71,24,47,1,3,42,7,4,1,10,2,12,10,9,0,24,0,3,9,14,96,16,2,5,1,15,21,6,7,58,70,62,80,55,77,67
180,Luke Menhenett,Mansfield,18,923,202,108,94,86,53,9,12,0,0,29,81,56,2,0,0,58,24,34,3,7,46,19,1,0,6,3,37,19,16,2,24,0,11,33,6,90,5,0,11,2,1,32,23,2,0,67,63,71,42,78,57
181,Jordan Loverso,Shepparton United,17,912,186,128,58,75,68,9,44,12,15,68,25,75,1,2,0,54,13,41,2,9,59,5,19,0,9,0,0,9,30,0,26,0,2,17,25,127,12,1,6,6,26,47,2,10,44,64,59,76,50,78,0
182,Miller Griffiths,Kyabram,18,908,224,121,103,78,67,11,27,2,0,25,57,28,0,0,0,54,24,30,4,7,60,10,3,0,8,3,20,8,6,0,13,0,7,13,12,58,4,1,6,1,1,22,5,0,100,67,60,76,33,64,70
183,Zac Alderton,Shepparton Swans,10,901,208,128,80,116,34,75,44,3,2,38,22,41,2,0,0,76,31,45,2,2,32,1,2,15,38,22,11,13,14,0,14,0,1,36,19,81,2,2,2,7,5,29,7,9,60,61,54,73,64,67,55
184,Mitchell Bright,Rochester,16,897,242,150,92,81,63,13,41,1,3,44,74,28,1,0,0,55,20,35,6,9,54,15,1,2,9,2,21,7,22,0,20,0,4,37,17,67,5,4,7,3,0,17,11,5,20,67,59,79,46,62,62
185,William Hogan,Mansfield,12,895,148,111,37,74,54,17,14,29,21,90,13,27,0,3,0,41,11,30,2,13,41,3,40,1,12,4,8,11,11,0,6,0,1,9,17,41,3,0,2,1,18,9,0,20,58,58,50,84,50,47,50
186,Darcy Giles,Seymour,14,893,159,79,80,100,15,19,29,5,6,50,63,80,0,0,0,68,28,40,0,4,11,3,1,1,14,4,6,25,11,0,44,0,2,10,13,196,30,8,3,3,19,57,4,8,41,67,51,84,55,74,67
187,Mitchell Bell,Echuca,15,888,204,128,76,79,57,9,29,11,11,61,47,23,7,1,0,56,16,40,3,7,50,6,10,3,3,3,19,9,10,2,22,0,2,18,11,70,7,3,8,2,3,19,1,6,50,68,59,83,55,56,74
188,Benjamin Reardon,Mansfield,10,888,199,145,54,69,57,13,25,14,9,42,42,21,4,0,0,47,8,39,7,9,48,10,13,0,5,8,27,9,7,1,14,0,3,19,15,58,2,6,1,3,1,14,6,3,60,60,54,76,32,23,56
189,Toby Williams,Mooroopna,20,887,185,88,97,84,31,16,27,9,6,69,29,47,0,0,0,64,25,39,0,4,27,2,5,1,11,4,4,14,5,0,37,0,0,16,6,135,25,4,5,2,15,30,2,11,56,74,61,86,63,81,25
190,Patrick Kennedy,Echuca,17,877,178,100,78,67,62,6,10,0,0,28,53,49,0,0,0,50,23,27,0,6,56,9,0,0,2,4,22,9,13,0,31,0,3,13,6,82,3,3,21,3,0,21,28,1,0,79,73,87,30,67,73
191,Kitt McCamley,Tatura,17,874,218,101,117,58,85,5,15,0,2,27,40,61,1,0,0,43,14,29,2,4,81,9,2,0,2,3,11,11,20,0,32,0,0,34,5,140,16,5,2,5,6,51,4,3,0,74,60,85,53,100,55
192,Tyler McGregor,Benalla,13,873,196,115,81,83,65,11,25,5,5,43,30,31,0,7,1,47,22,25,4,18,47,4,3,1,4,6,13,13,13,7,19,0,1,19,8,59,7,1,10,1,7,21,3,8,50,73,68,81,52,82,69
193,Nate Trotter,Euroa,12,868,183,133,50,63,66,11,19,9,2,27,38,14,1,20,4,37,14,23,8,11,55,13,8,0,7,4,35,10,3,13,23,0,5,21,12,29,4,0,16,3,2,7,5,3,81,65,59,82,47,36,60
194,Declan Newbound,Shepparton United,17,860,180,119,61,49,74,2,11,0,2,24,66,27,1,2,0,25,9,16,8,12,62,19,0,0,2,0,24,9,15,12,37,0,6,15,2,47,3,2,26,6,0,11,16,0,0,76,72,82,45,100,79
195,Tom Jeffrey,Seymour,15,857,185,125,60,66,72,11,32,5,3,44,50,26,0,1,0,47,13,34,3,11,61,18,7,0,10,1,16,5,8,0,23,0,6,22,11,54,6,2,12,1,0,18,8,1,62,65,62,73,50,36,69
196,Fraser Hicks,Shepparton United,14,855,235,156,79,48,56,5,11,0,0,30,54,27,0,0,0,35,10,25,3,7,49,13,2,0,4,1,42,2,6,48,13,0,4,21,5,45,3,1,9,0,0,17,10,1,0,76,73,82,64,60,69
197,Kyle Waters,Rochester,18,852,198,106,92,116,35,9,25,16,19,74,22,27,2,0,0,92,51,41,3,9,26,1,17,1,5,3,1,12,9,0,17,0,0,11,27,70,13,1,0,3,12,14,1,12,44,58,45,72,40,44,0
198,Oscar Dixon,Kyabram,18,846,159,92,67,51,53,1,4,0,0,26,56,42,0,1,0,35,16,19,4,5,48,7,0,0,0,1,26,8,13,0,79,0,7,22,0,87,9,5,62,2,3,18,21,1,0,72,71,75,50,100,65
199,Lachlan Ludeman,Shepparton Bears,14,843,178,91,87,96,38,40,43,7,5,55,27,36,3,0,0,70,29,41,4,6,32,5,4,8,16,16,12,6,17,0,19,0,4,17,17,77,8,3,4,4,8,26,2,8,58,69,54,85,58,75,58
200,Christopher Ryan,Tatura,13,840,159,123,36,62,71,10,13,2,2,16,56,12,1,59,11,23,9,14,1,22,49,32,3,1,4,5,32,10,7,9,16,0,8,26,5,25,2,0,11,2,3,7,2,2,40,65,63,72,62,30,56
201,Jesse Brock,Seymour,16,833,104,43,61,58,30,21,11,3,4,47,23,12,0,364,82,31,17,14,0,9,21,9,8,4,9,8,3,9,11,0,32,0,3,12,7,32,4,0,15,13,1,8,3,2,42,66,42,84,36,67,100
202,Xavier Stevenson,Shepparton Bears,8,821,200,108,92,72,50,41,29,4,3,32,21,39,0,0,0,43,14,29,10,0,50,2,2,15,14,12,14,12,9,0,10,0,0,21,13,72,5,2,1,2,8,27,4,1,57,68,53,85,38,63,64
203,Harper Simpson,Shepparton Swans,15,819,139,112,27,57,52,13,38,25,15,70,17,39,1,9,0,27,10,17,0,9,43,0,24,3,6,4,0,19,11,0,30,0,0,5,22,82,16,2,4,8,18,20,1,6,59,58,53,78,50,54,0
204,Brady Bartlett,Benalla,12,800,186,134,52,61,58,6,14,4,4,26,53,14,0,5,1,40,9,31,2,9,49,14,6,0,4,2,49,6,4,35,29,0,8,20,14,37,2,4,17,5,4,8,2,1,50,63,63,65,29,50,61
205,Jack Osborne,Mooroopna,16,800,112,95,17,73,70,0,18,22,31,70,10,32,0,2,0,15,5,10,1,45,25,1,53,0,0,0,0,13,11,0,24,0,0,5,16,70,16,0,8,0,15,17,0,5,40,48,44,71,44,0,0
206,Felix Fogarty,Rochester,17,799,170,105,65,73,56,3,27,23,14,62,21,27,0,8,1,43,15,28,1,15,41,1,25,0,2,1,4,11,12,1,20,0,2,18,20,65,6,2,7,3,13,13,1,3,62,59,50,72,52,100,25
207,Matt Kellett,Rochester,16,785,143,101,42,60,40,11,17,0,0,17,54,43,2,0,0,39,20,19,6,5,35,9,1,0,9,2,26,15,12,1,46,0,2,18,9,85,9,0,30,3,2,19,22,0,0,70,63,86,35,91,69
208,William Dunstan,Mansfield,17,765,164,93,71,73,42,4,36,6,5,41,32,48,0,0,0,55,14,41,1,4,38,0,9,1,2,1,5,20,11,0,43,0,0,14,21,127,20,7,7,6,9,34,5,11,54,62,52,76,44,100,60
209,Zac Gleeson,Euroa,17,764,150,98,52,52,74,3,19,19,7,62,10,24,0,0,0,31,13,18,1,9,65,2,26,1,1,1,2,7,6,0,14,0,0,13,12,49,4,3,4,2,15,8,1,4,73,70,64,81,79,67,50
210,Will Russell,Tatura,11,763,173,151,22,36,65,3,13,7,4,21,34,20,4,0,0,20,4,16,1,8,57,18,6,0,2,1,48,8,11,46,22,0,5,24,6,40,9,0,11,1,4,12,4,2,63,68,65,86,46,67,69
211,Makai Cronin,Echuca,13,761,156,110,46,61,42,5,43,12,13,60,28,31,2,0,0,43,9,34,1,9,33,2,11,0,3,2,2,5,5,0,16,0,1,9,15,71,9,3,1,3,16,15,0,9,48,67,62,80,72,40,100
212,Nick Mellington,Benalla,9,753,161,99,62,86,31,44,30,3,2,25,24,35,10,1,0,44,20,24,4,5,26,3,1,12,15,17,17,21,12,0,21,0,3,13,7,69,9,3,3,5,0,27,8,4,60,62,58,69,50,52,59
213,Cody George,Mansfield,11,729,155,67,88,74,24,27,29,4,2,59,28,45,2,0,0,49,11,38,0,5,19,2,5,6,15,6,2,13,11,0,22,0,1,14,9,93,3,1,3,8,12,27,6,9,66,74,61,84,52,81,100
214,Michael Mummery,Benalla,13,728,113,96,17,47,51,2,13,37,16,74,8,4,1,1,0,25,5,20,1,13,38,1,36,0,1,1,1,6,4,0,4,0,0,3,8,12,2,0,1,1,3,1,0,4,68,64,63,71,62,50,100
215,Marcus Varley,Euroa,12,728,173,105,68,57,39,22,13,0,0,16,28,52,0,0,0,42,12,30,8,2,37,5,1,4,11,7,16,7,11,3,31,0,3,24,7,107,10,3,11,3,6,26,20,1,0,61,50,79,23,50,63
216,Jack McHale,Echuca,6,727,150,78,72,79,29,37,31,4,5,45,22,37,0,0,0,52,21,31,1,2,27,2,7,13,14,10,6,7,8,0,21,0,2,16,13,71,5,6,3,5,11,22,4,7,44,68,60,76,58,59,67
217,Nathan Fowler,Seymour,16,723,131,80,51,76,47,9,27,10,7,51,26,39,0,29,9,36,19,17,1,18,29,5,18,1,5,3,6,13,17,0,27,0,2,16,15,89,9,0,9,8,15,18,6,7,58,61,50,78,56,56,17
218,Jack Fullager,Benalla,17,716,155,64,91,59,44,8,4,0,0,10,56,23,0,0,0,37,12,25,0,3,41,8,0,0,6,2,22,13,6,7,29,0,4,10,1,48,3,2,16,6,0,9,14,0,0,80,80,80,50,88,68
219,Anthony Andronaco,Shepparton Bears,12,706,146,101,45,68,45,17,39,16,9,58,20,16,0,0,0,40,12,28,1,9,36,2,13,4,10,3,5,12,12,0,8,0,0,16,15,42,2,2,1,3,5,11,0,8,64,58,57,60,59,47,60
